,제목,업로더,조회수,게시일
526,[입덕직캠] 아이즈원 권은비 직캠 4K ‘Sequence’ (IZ*ONE Kwon Eunbi FanCam) | @IZ*ONE One-reeler Premiere,M2,"조회수 631,282회",2020. 12. 11.
527,[입덕직캠] 아이즈원 야부키 나코 직캠 4K ‘Sequence’ (IZ*ONE Yabuki Nako FanCam) | @IZ*ONE One-reeler Premiere,M2,"조회수 221,965회",2020. 12. 11.
528,[입덕직캠] 아이즈원 안유진 직캠 4K ‘Sequence’ (IZ*ONE Ahn Yujin FanCam) | @IZ*ONE One-reeler Premiere,M2,"조회수 3,601,004회",2020. 12. 11.
529,#아이즈원 #장원영 님 스타일의 #물결펌 #물결웨이브 머리 #펌ꯁ #뿌리펌 과 #페이스라인컷 으로 위에서부터 흐르는 굵은 웨이브가 얼굴을 더 작게 만들어요ꯁ,박승철헬리오시티점 예원,조회수 956회,2022. 1. 1.
530,Ear Massage with Glass Dropper 👂 ASMR Full Ver. | 아이즈원 권은비&김채원 | [팅글인터뷰],M2,"조회수 2,422,951회",2020. 7. 5.
531,[MPD직캠] 아이즈원 야부키 나코 직캠 4K ‘Panorama’ (IZ*ONE Yabuki Nako FanCam) | @IZ*ONE One-reeler Premiere,M2,"조회수 350,660회",2020. 12. 8.
532,원 네이션,YouTube 영화,오류,오류
533,"[아이즈원]은비 당황, LA에도 내 취향은 없어요",쌈조TV3,"조회수 2,553회",2021. 12. 31.
534,"[아이즈원]초딩실직, 너무 귀여운 예나",쌈조TV3,"조회수 2,035회",2021. 12. 31.
535,Cruella,YouTube 영화,오류,오류
536,2021년 베스트 걸그룹 1위!! 아이즈원 삼성동 광고,곽군테레비 郭君テレビ,"조회수 1,916회",2021. 12. 29.
537,[아이즈원]드디어 뭉쳤다 3사 MC즈!,쌈조TV3,"조회수 22,516회",2021. 12. 31.
538,아이즈원 굿즈 판매! 완전 싸게 처분!,아쪼,조회수 26회,2021. 12. 30.
539,그레이트 스네이크,YouTube 영화,오류,오류
